icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount,date,datetime_x,tempmax_x,tempmin_x,humidity_x,conditions_x,description_x,datetime_y,tempmax_y,tempmin_y,humidity_y,conditions_y,description_y
a446aa,1610075639,KATL,1610081519,KJFK,DAL426  ,1932.0,83.0,1466,34,0,1,2021-01-08,,,,,,,,,,,,
0d0b10,1610073861,Unknown,1610081367,KJFK,VOI894  ,1636.0,115.0,3897,133,0,2,2021-01-08,,,,,,,,,,,,
a82520,1610067146,KSLC,1610081254,KJFK,DAL789  ,2414.0,121.0,1200,18,1,1,2021-01-08,,,,,,,,,,,,
ac8e1d,1610072194,KMIA,1610080461,KJFK,AAL1357 ,3528.0,149.0,2753,56,1,2,2021-01-08,,,,,,,,,,,,
a44031,1610071922,KTPA,1610079308,KJFK,DAL1373 ,2397.0,502.0,1236,11,3,1,2021-01-08,,,,,,,,,,,,
0c206b,1610070143,Unknown,1610078639,KJFK,CMP804  ,1636.0,115.0,3259,72,0,2,2021-01-08,,,,,,,,,,,,
aa7c64,1610068191,Unknown,1610077706,KJFK,JBU1206 ,1636.0,115.0,2929,72,0,2,2021-01-08,,,,,,,,,,,,
ab52a2,1610064505,TJSJ,1610077575,KJFK,DAL1853 ,4369.0,385.0,1770,34,1,1,2021-01-08,,,,,,,,,,,,
a3b4c8,1610069352,KFLL,1610077417,KJFK,DAL1379 ,2742.0,347.0,1278,11,2,1,2021-01-08,,,,,,,,,,,,
a78945,1610065665,KDEN,1610077318,KJFK,JBU1498 ,6838.0,379.0,3404,95,6,2,2021-01-08,,,,,,,,,,,,
a130db,1610069129,KOPF,1610077066,KJFK,N176QF  ,1923.0,119.0,1305,3,2,1,2021-01-08,,,,,,,,,,,,
a95584,1610068285,Unknown,1610076653,KJFK,EAL231  ,1636.0,115.0,3630,125,0,2,2021-01-08,,,,,,,,,,,,
a19d0d,1610068317,KFLL,1610076437,KJFK,JBU2    ,2145.0,103.0,3923,125,1,2,2021-01-08,,,,,,,,,,,,
a5e02d,1610072290,KDTW,1610076345,KJFK,EDV5223 ,1715.0,275.0,1212,11,1,1,2021-01-08,,,,,,,,,,,,
aaa6dd,1610068012,KMIA,1610076012,KJFK,AAL243  ,2676.0,134.0,2729,49,1,2,2021-01-08,,,,,,,,,,,,
