icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount,date,datetime,tempmax,tempmin,humidity,conditions,description
ac8217,1673138964,KSLC,1673153857,KJFK,DAL380  ,3259.0,281.0,1105,42,1,1,2023-01-08,2023-01-08,10.944444444444446,7.166666666666667,83.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
a7beea,1673136490,Unknown,1673153849,KJFK,GLG7392 ,1627.0,133.0,2869,18,0,2,2023-01-08,2023-01-08,10.944444444444446,7.166666666666667,83.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
06a141,1673126602,EHBK,1673153695,KJFK,QTR8183 ,742.0,121.0,2739,11,1,2,2023-01-08,2023-01-08,10.944444444444446,7.166666666666667,83.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
ac89f7,1673141133,Unknown,1673153493,KJFK,JBU1110 ,1627.0,133.0,3735,64,0,2,2023-01-08,2023-01-08,10.944444444444446,7.166666666666667,83.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
aca99c,1673136321,KSEA,1673153489,KJFK,DAL374  ,914.0,43.0,1321,34,2,1,2023-01-08,2023-01-08,10.944444444444446,7.166666666666667,83.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
0d0b4b,1673139313,MMMX,1673153322,KJFK,AMX404  ,418.0,119.0,3021,26,0,2,2023-01-08,2023-01-08,10.944444444444446,7.166666666666667,83.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
a96c96,1673135764,KSFO,1673153138,KJFK,DAL325  ,1459.0,239.0,1140,34,1,1,2023-01-08,2023-01-08,10.944444444444446,7.166666666666667,83.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
adf4e9,1673150596,KBOS,1673152936,KJFK,JBU449  ,1026.0,268.0,2435,11,0,1,2023-01-08,2023-01-08,10.944444444444446,7.166666666666667,83.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
a32bf3,1673144028,KMIA,1673152460,KJFK,AAL1357 ,2878.0,195.0,2961,18,1,2,2023-01-08,2023-01-08,10.944444444444446,7.166666666666667,83.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
acc23f,1673136685,KLAS,1673152374,KJFK,DAL689  ,1287.0,93.0,1197,42,2,1,2023-01-08,2023-01-08,10.944444444444446,7.166666666666667,83.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
