datetime,tempmax,tempmin,humidity,conditions,description
2023-01-01,14.88888888888889,11.38888888888889,74.5,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.
2023-01-02,14.22222222222222,7.277777777777778,84.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-01-03,9.555555555555555,5.555555555555555,92.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-01-04,13.499999999999998,9.77777777777778,90.4,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-01-05,13.61111111111111,11.333333333333334,84.9,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-01-06,13.166666666666668,10.388888888888893,83.5,Overcast,Cloudy skies throughout the day.
2023-01-07,10.944444444444446,7.611111111111112,78.8,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-01-08,10.944444444444446,7.166666666666667,83.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-01-09,9.000000000000002,5.7222222222222205,78.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-01-10,11.555555555555554,4.166666666666667,90.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-01-11,12.055555555555555,9.444444444444445,81.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-01-12,11.666666666666666,9.22222222222222,84.0,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.
2023-01-13,11.166666666666666,7.555555555555555,77.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-01-14,12.27777777777778,7.833333333333333,89.8,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-01-15,8.833333333333334,5.666666666666668,76.2,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
2023-01-16,6.666666666666667,3.4999999999999982,84.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-01-17,3.777777777777776,0.6666666666666683,90.6,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-01-18,5.444444444444443,-0.6666666666666663,77.3,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.
2023-01-19,2.555555555555556,0.1111111111111126,92.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.
2023-01-20,6.0555555555555545,-0.0555555555555563,84.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-01-21,4.388888888888888,-0.4444444444444448,76.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
2023-01-22,2.333333333333335,-0.3333333333333341,76.6,Overcast,Cloudy skies throughout the day.
2023-01-23,3.111111111111112,1.1666666666666674,79.2,Overcast,Cloudy skies throughout the day.
2023-01-24,3.1666666666666683,1.4444444444444453,81.5,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.
2023-01-25,2.833333333333334,-0.5555555555555556,88.8,Overcast,Cloudy skies throughout the day.
2023-01-26,5.166666666666665,0.3333333333333341,91.8,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.
2023-01-27,5.166666666666665,3.944444444444445,77.6,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.
2023-01-28,3.944444444444445,1.0555555555555547,73.6,Overcast,Cloudy skies throughout the day.
2023-01-29,4.722222222222222,-1.6111111111111105,75.2,Partially cloudy,Partly cloudy throughout the day.
2023-01-30,9.11111111111111,1.722222222222223,84.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
