icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
ab60e3,1610081749,KJFK,1610083761,,DAL156  ,2363,87,,,0,0
4ba950,1610081485,KJFK,1610114516,,THY12   ,2091,64,,,0,0
a4b0bb,1610081391,KJFK,1610118921,LLBG,DAL234  ,1897,156,1705.0,41.0,0,4
e80244,1610080372,KJFK,1610108240,SPJC,LPE2373 ,2029,217,9912.0,399.0,0,5
8964a5,1610080264,KJFK,1610124741,OMDB,UAE202  ,3130,171,1050.0,87.0,0,2
a74b1b,1610080162,KJFK,1610099416,KLAX,SCX3053 ,2132,34,1657.0,60.0,0,8
a41b66,1610079633,KJFK,1610084296,20KY,ABX152  ,2120,178,2842.0,2330.0,0,10
c01aa6,1610079532,KJFK,1610082886,CYHM,CJT246  ,1528,178,1520.0,62.0,0,6
a42665,1610079440,KJFK,1610086069,KORD,ATN3457 ,963,79,997.0,105.0,0,5
acb1f5,1610079434,KJFK,1610082972,KJFK,N917PD  ,9872,3,10124.0,26.0,0,2
a8058a,1610079270,KJFK,1610084424,20II,FDX1612 ,2045,217,4369.0,1043.0,0,29
ac89f7,1610078716,KJFK,1610080335,,JBU437  ,1753,125,,,0,0
a4b5df,1610078567,KJFK,1610084182,07KY,UPS9793 ,1792,125,4632.0,241.0,0,11
a2cfcb,1610078350,KJFK,1610083773,KSDF,UPS1111 ,2327,125,2646.0,30.0,0,11
abb6dc,1610078240,KJFK,1610084909,KORD,QFA7550 ,2135,34,1638.0,105.0,0,5
ad8fa4,1610078118,KJFK,1610079678,,JBU609  ,1557,140,,,0,0
adda92,1610078028,KJFK,1610084428,,FDX1292 ,1874,300,,,0,0
a08826,1610077781,KJFK,1610084337,41IL,UPS1125 ,1754,239,6062.0,448.0,0,20
ab6851,1610076993,KJFK,1610101671,EGLL,DAL1    ,2296,201,1017.0,32.0,0,6
a0e869,1610075085,KJFK,1610081353,,FDX1276 ,2141,133,,,0,0
3965a0,1610074058,KJFK,1610099138,LFPG,AFR011  ,2101,156,5870.0,63.0,0,8
484fff,1610073809,KJFK,1610099497,EHAM,KLM644  ,2990,117,2536.0,27.0,0,1
4005c1,1610073189,KJFK,1610097012,EGLL,BAW14K  ,2569,102,2091.0,17.0,0,5
780232,1610072530,KJFK,1610076095,CYYZ,CPA085  ,3281,95,1641.0,104.0,0,4
06a12e,1610072299,KJFK,1610115914,OTHH,QTR59G  ,2298,102,3500.0,4.0,0,1
a186ad,1610071694,KJFK,1610073941,KBOS,JBU1318 ,1683,194,3552.0,100.0,0,3
407699,1610070186,KJFK,1610093923,EGLL,VIR606N ,2232,72,1116.0,40.0,0,6
a44d85,1610070084,KJFK,1610078168,KORL,DAL1717 ,2918,110,11299.0,887.0,0,8
a87fe4,1610069542,KJFK,1610076611,KATL,GTI450  ,2171,110,2169.0,30.0,0,21
a66239,1610069079,KJFK,1610070687,,JBU1009 ,2199,171,,,0,0
896409,1610068844,KJFK,1610112522,,ETD47N  ,2625,64,,,0,0
ad734a,1610068752,KJFK,1610070477,,JBU2837 ,1885,110,,,0,0
89911e,1610068642,KJFK,1610093399,6AK5,CAL5321 ,1986,64,2557.0,470.0,0,14
020122,1610068435,KJFK,1610091099,GMMN,RAM201N ,1820,49,845.0,81.0,0,1
7380c4,1610068318,KJFK,1610103636,LLBG,ELY002  ,2352,18,7543.0,271.0,0,4
abe1c2,1610068199,KJFK,1610069725,,DAL1975 ,2494,11,,,0,0
a4077d,1610068109,KJFK,1610076954,FL35,DAL1663 ,1221,42,8826.0,643.0,0,9
abea64,1610067977,KJFK,1610070280,KBOS,RPA5740 ,1074,41,2656.0,47.0,0,3
a1b449,1610067924,KJFK,1610070320,KDCA,RPA5658 ,1204,148,2768.0,33.0,0,5
a33339,1610067854,KJFK,1610070549,KSYR,EDV4851 ,1010,72,3117.0,31.0,0,12
a9cb18,1610067707,KJFK,1610091389,EGLL,AAL106  ,2245,102,1054.0,40.0,0,6
3965a1,1610067479,KJFK,1610092846,LFPG,AFR007  ,1383,3,3808.0,66.0,0,8
a3ff4e,1610067389,KJFK,1610070702,KBUF,RPA5754 ,1214,133,1519.0,69.0,0,15
484443,1610067204,KJFK,1610091969,EHAM,KLM642  ,1198,3,2095.0,4.0,0,1
ab3d17,1610066998,KJFK,1610069999,KROC,RPA5663 ,1226,102,373.0,101.0,0,12
a418b2,1610066930,KJFK,1610076644,KFLL,DAL1644 ,1703,110,4523.0,157.0,0,4
acb963,1610066853,KJFK,1610074395,KJFK,N919PD  ,10244,64,10548.0,34.0,0,2
a0563b,1610066703,KJFK,1610068857,,DAL216  ,1872,79,,,0,0
adf128,1610066464,KJFK,1610074789,KORL,JBU901  ,1629,110,1785.0,468.0,0,6
acb1f5,1610066247,KJFK,1610070929,KJFK,N917PD  ,9810,49,9979.0,11.0,0,2
a9acb8,1610066134,KJFK,1610087158,KSFO,DAL673  ,1728,156,548.0,72.0,0,5
4005c0,1610066013,KJFK,1610089768,EGKK,BAW2172 ,1901,117,6247.0,266.0,0,2
01012a,1610065758,KJFK,1610098215,,MSR986  ,2567,3,,,0,0
a19cc7,1610065154,KJFK,1610074306,KFLL,JBU1401 ,1704,95,3027.0,88.0,0,4
a445f8,1610064640,KJFK,1610081317,,DAL1985 ,1676,95,,,0,0
ab1c47,1610064459,KJFK,1610065930,,DAL1943 ,1901,79,,,0,0
ad4bcb,1610064216,KJFK,1610075204,TJSJ,JBU2503 ,1900,95,2639.0,35.0,0,1
e80450,1610064006,KJFK,1610089908,,LAN533  ,7895,834,,,0,0
a33666,1610057294,KJFK,1610060549,KBUF,JBU102  ,1336,72,2374.0,16.0,0,15
a5fc87,1610056944,KJFK,1610062438,KDTW,EDV5189 ,1934,34,3557.0,16.0,0,10
acb1f5,1610055062,KJFK,1610056743,KJFK,N917PD  ,9728,56,10044.0,41.0,0,2
4ba956,1610054302,KJFK,1610058158,CYYZ,THY6107 ,1492,3,1782.0,112.0,0,3
a1a435,1610053923,KJFK,1610062036,KORL,JBU84   ,2003,156,5979.0,864.0,0,8
ab35d3,1610052720,KJFK,1610059654,KATL,DAL45   ,1962,133,2594.0,68.0,0,20
a4350c,1610052648,KJFK,1610061419,FL35,DAL753  ,1516,102,8901.0,643.0,0,9
ab282b,1610052320,KJFK,1610054622,KBOS,RPA5721 ,1384,171,3408.0,85.0,0,3
a44cda,1610052261,KJFK,1610060532,KSFB,DAL760  ,1836,110,10864.0,1469.0,0,5
a3a575,1610051908,KJFK,1610054682,KROC,JBU486  ,2230,72,374.0,101.0,0,12
a4a0cd,1610051235,KJFK,1610060530,KRSW,DAL1525 ,2286,49,2509.0,36.0,0,8
abee1b,1610051146,KJFK,1610054169,KDCA,RPA5762 ,1880,56,2732.0,33.0,0,5
ad3cdf,1610051100,KJFK,1610060625,KFLL,JBU1171 ,2593,79,7715.0,324.0,0,4
a1a0c4,1610050994,KJFK,1610060348,KRSW,JBU1729 ,2459,49,2652.0,51.0,0,8
a3b4b5,1610050598,KJFK,1610059520,KMSP,DAL978  ,2059,26,2330.0,42.0,0,9
ad444d,1610050304,KJFK,1610058919,FL35,JBU125  ,2697,125,4425.0,1207.0,0,6
a8d224,1610049854,KJFK,1610053965,KRDU,EDV4636 ,1734,26,1632.0,48.0,0,7
aa4903,1610048776,KJFK,1610057784,KMIA,AAL313  ,2303,34,3085.0,81.0,0,5
a78945,1610048210,KJFK,1610061311,60CO,JBU2597 ,2290,3,4342.0,432.0,0,19
ab52a2,1610048015,KJFK,1610059080,TJSJ,DAL1853 ,2424,3,3468.0,96.0,0,1
a1741a,1610047945,KJFK,1610052619,,JBU1041 ,2025,26,,,0,0
adf066,1610047638,KJFK,1610050027,KSYR,N998AL  ,1651,3,4296.0,107.0,0,12
a299c8,1610046030,KJFK,1610048654,VT01,JBU34   ,1867,34,5230.0,1046.0,0,11
a8aed1,1610045075,KJFK,1610048953,CYHM,GTI2041 ,2137,41,1543.0,54.0,0,6
a3e94e,1610042475,KJFK,1610051489,KMSP,JBU1717 ,2147,95,1910.0,65.0,0,10
71c251,1610041770,KJFK,1610044614,,KAL8250 ,2275,3,,,0,0
a3b796,1610041004,KJFK,1610048057,KATL,DAL418  ,2163,26,2212.0,14.0,0,21
a90ea8,1610040165,KJFK,1610050438,,DAL644  ,2257,79,,,0,0
ace18e,1610040060,KJFK,1610040811,KHPN,N929WA  ,3403,49,15314.0,216.0,1,2
ade609,1610039710,KJFK,1610048894,KFLL,JBU2201 ,2589,41,4240.0,142.0,0,4
a12c23,1610039520,KJFK,1610058586,KLAX,DAL326  ,2135,72,1841.0,22.0,0,8
a24aa7,1610039134,KJFK,1610042801,KMVY,KAP349  ,2020,140,2177.0,131.0,0,5
a138b8,1610038713,KJFK,1610043765,KCLT,AAL163  ,2399,49,5321.0,145.0,0,7
a34294,1610038000,KJFK,1610045631,,DAL1752 ,2126,18,,,0,0
ad6bdc,1610037609,KJFK,1610056924,KHHR,JBU723  ,2286,26,3036.0,94.0,0,7
aa7c64,1610036943,KJFK,1610056182,KPDX,JBU1205 ,2595,148,722.0,70.0,0,22
acb1f5,1610036770,KJFK,1610040113,KJFK,N917PD  ,10683,26,10079.0,3.0,0,2
a40d8d,1610036596,KJFK,1610045335,KFLL,DAL1695 ,2024,26,7026.0,294.0,0,4
a37023,1610036506,KJFK,1610045631,KMIA,DAL1371 ,2353,34,4376.0,111.0,0,7
accb2b,1610036359,KJFK,1610055160,KSEA,ASA160  ,5383,483,1880.0,63.0,1,11
a1b2ee,1610035980,KJFK,1610047550,TJSJ,JBU2003 ,2370,56,2606.0,73.0,0,1
ad6f93,1610035714,KJFK,1610043958,KORL,JBU6189 ,2001,140,2890.0,407.0,0,7
4cc52a,1610035471,KJFK,1610061030,EBLG,SVA904  ,2365,34,8473.0,378.0,0,4
a44d85,1610034871,KJFK,1610036849,,DAL1891 ,2434,11,,,0,0
a5fc87,1610033750,KJFK,1610038253,,EDV5178 ,1776,11,,,0,0
a33666,1610033644,KJFK,1610037816,,JBU1273 ,2568,41,,,0,0
a72b6b,1610033575,KJFK,1610035666,,JBU2609 ,2641,56,,,0,0
aaf968,1610033172,KJFK,1610043773,,DAL621  ,2469,34,,,0,0
a30c8e,1610032920,KJFK,1610037192,KRDU,JBU285  ,1940,11,1804.0,64.0,0,7
a9876e,1610032770,KJFK,1610057185,6AK5,CKS816  ,1008,49,2234.0,486.0,0,14
a93d9f,1610032262,KJFK,1610049986,MMMX,DAL603  ,904,42,6249.0,178.0,0,1
ad2095,1610032123,KJFK,1610049910,KLAS,JBU211  ,2115,26,1027.0,100.0,0,4
aaba81,1610032025,KJFK,1610044495,02XS,SCX3023 ,2471,3,946.0,88.0,0,5
ac7581,1610031815,KJFK,1610045314,,AAL806  ,2035,3,,,0,0
a6587b,1610031743,KJFK,1610048784,KPHX,JBU2135 ,1999,26,1643.0,48.0,0,10
a96c96,1610031380,KJFK,1610048002,KPHX,DAL733  ,2629,117,1670.0,41.0,0,10
abff50,1610031280,KJFK,1610038946,,RPA5621 ,1945,11,,,0,0
a66239,1610031206,KJFK,1610035510,,JBU2659 ,2220,26,,,0,0
a14fe0,1610031063,KJFK,1610047439,KSLC,DAL719  ,2403,95,1396.0,107.0,0,3
a3bd81,1610030983,KJFK,1610035851,71MI,EDV4630 ,1824,18,9791.0,444.0,0,11
0c2068,1610030911,KJFK,1610047886,MPMG,CMP875  ,2582,110,11097.0,554.0,0,3
a3ff4e,1610030826,KJFK,1610033182,KBOS,RPA5732 ,2019,26,3336.0,92.0,0,3
a7a1e8,1610030768,KJFK,1610050940,60CL,JBU361  ,2378,72,4744.0,184.0,0,20
a654cb,1610030692,KJFK,1610037590,KATL,JBU1919 ,2539,87,2116.0,7.0,0,21
ad734a,1610030510,KJFK,1610032408,,JBU137  ,2494,18,,,0,0
ac159a,1610030306,KJFK,1610034699,,RPA5724 ,1919,26,,,0,0
a30520,1610030108,KJFK,1610032720,KSYR,JBU116  ,2061,102,4022.0,69.0,0,12
ab282b,1610030040,KJFK,1610034577,,RPA5609 ,2062,79,,,0,0
abba43,1610029971,KJFK,1610038524,,DAL1955 ,2584,3,,,0,0
a299c8,1610029506,KJFK,1610034269,KDTW,JBU919  ,1814,34,10462.0,382.0,0,11
ad27f3,1610029254,KJFK,1610047923,KSEA,JBU63   ,2317,64,1078.0,116.0,0,11
a3b808,1610029177,KJFK,1610038183,,JBU1381 ,2366,11,,,0,0
a13391,1610029083,KJFK,1610048639,KLAX,DAL315  ,2232,133,1638.0,0.0,0,8
a73a47,1610028993,KJFK,1610038114,KSRQ,JBU163  ,2252,110,1303.0,1.0,0,3
acb963,1610028978,KJFK,1610032908,KJFK,N919PD  ,10145,3,10086.0,42.0,0,2
ad646e,1610028892,KJFK,1610047424,KPSP,JBU1849 ,2539,72,1743.0,23.0,0,1
aa944a,1610028783,KJFK,1610047484,KLAX,AAL1    ,2342,41,3215.0,7.0,0,7
