icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
aaaa92,1673153994,KJFK,1673189757,LLBG,AAL146  ,2427,72,4015.0,141.0,0,4
a4ce71,1673153643,KJFK,1673188364,LLBG,DAL234  ,2264,102,3858.0,126.0,0,4
adde95,1673153344,KJFK,1673171664,KSAN,JBU89   ,2516,72,1249.0,50.0,0,9
a721a4,1673152880,KJFK,1673159397,,JBU1359 ,2226,64,,,0,0
06a1d3,1673152733,KJFK,1673194534,OMDW,QQE942  ,1734,133,4467.0,87.0,0,1
acffbe,1673152632,KJFK,1673170559,SKBO,AVA245  ,1961,41,7235.0,187.0,0,2
406b0a,1673152515,KJFK,1673175313,EGLL,BAW18A  ,1671,41,2985.0,233.0,0,5
40771a,1673152270,KJFK,1673174429,EGLL,VIR10H  ,1886,26,2677.0,218.0,0,5
a86605,1673152208,KJFK,1673161958,,JBU1537 ,1726,26,,,0,0
aab2bf,1673151693,KJFK,1673161331,,JBU409  ,2092,49,,,0,0
a9bd9a,1673151309,KJFK,1673182743,SDTB,AAL951  ,2177,34,19997.0,1473.0,0,2
ac8289,1673151229,KJFK,1673161857,TJSJ,JBU403  ,2275,95,4778.0,164.0,0,1
ab649a,1673151156,KJFK,1673173934,EGLL,DAL3    ,2739,148,2459.0,203.0,0,5
a1e14a,1673151001,KJFK,1673156766,KCVG,ABX306  ,1350,79,2803.0,59.0,0,13
a8c796,1673150952,KJFK,1673163508,KDFW,JBU809  ,2194,49,4947.0,58.0,0,18
a3a575,1673150515,KJFK,1673152643,KORH,JBU676  ,1303,56,497.0,71.0,0,10
add376,1673150481,KJFK,1673170089,KLAX,JBU1823 ,2556,133,3013.0,22.0,0,7
ab4fd4,1673150368,KJFK,1673174626,LFPG,DAL264  ,2319,133,5713.0,154.0,0,8
461f0b,1673150258,KJFK,1673178191,EFHK,FIN16   ,1846,41,2955.0,62.0,0,2
76cce5,1673150109,KJFK,1673213724,WSAT,SIA23   ,3240,224,26426.0,2110.0,0,0
896199,1673149976,KJFK,1673174293,LIMC,UAE5RQ  ,2677,34,641.0,51.0,0,4
aa37ce,1673149653,KJFK,1673172119,EGLL,AAL104  ,2236,87,2604.0,203.0,0,5
a19df2,1673149565,KJFK,1673152575,KROC,JBU486  ,1872,125,516.0,124.0,0,12
ac75ee,1673149455,KJFK,1673164492,,AAL2883 ,1977,117,,,0,0
48ae06,1673149336,KJFK,1673175687,EPWA,LOT2LY  ,2864,56,1939.0,34.0,0,1
a81abe,1673148961,KJFK,1673158379,,JBU509  ,2309,117,,,0,0
49530b,1673148892,KJFK,1673170499,LPPT,TAP210  ,2132,87,2227.0,0.0,0,4
a4034f,1673148817,KJFK,1673152785,KRDU,JBU1385 ,1697,64,2278.0,86.0,0,6
a7de53,1673148630,KJFK,1673158040,,JBU937  ,2387,95,,,0,0
345352,1673148501,KJFK,1673169749,LEMD,AEA092  ,2808,56,7190.0,61.0,0,3
a654cb,1673148377,KJFK,1673157739,,JBU2117 ,2045,64,,,0,0
a186ad,1673148272,KJFK,1673150899,KSYR,JBU2516 ,1572,64,3691.0,31.0,0,12
495269,1673148192,KJFK,1673165277,LPPD,RZO246  ,2380,95,513.0,101.0,0,0
aa77f0,1673148099,KJFK,1673178892,,AAL973  ,2566,125,,,0,0
394a0c,1673147995,KJFK,1673170494,LFPG,AFR011  ,2606,201,2878.0,185.0,0,8
e8020f,1673147878,KJFK,1673171596,SPOL,LAN531  ,2822,56,10641.0,362.0,0,4
a1a917,1673147770,KJFK,1673150295,KBOS,JBU318  ,1426,64,7291.0,275.0,0,2
a24aca,1673147704,KJFK,1673151111,KBUF,JBU102  ,1416,79,271.0,130.0,0,15
407993,1673147585,KJFK,1673169461,EGLL,BAW14K  ,2095,102,2501.0,195.0,0,5
896597,1673147374,KJFK,1673188568,OMAA,ETD47N  ,2517,125,9426.0,1855.0,0,3
4ca9df,1673147247,KJFK,1673173786,LIRF,ITY6KC  ,2363,102,3839.0,41.0,0,3
a12fcf,1673147144,KJFK,1673173055,EKCH,DAL218  ,1956,41,1402.0,124.0,0,0
ad7e6f,1673147077,KJFK,1673166168,KSEA,JBU263  ,2082,102,222.0,66.0,0,12
485e2d,1673146975,KJFK,1673169097,EHAM,KLM644  ,2320,72,5402.0,117.0,0,0
a2033a,1673146893,KJFK,1673149135,VT03,JBU234  ,1883,125,10663.0,2125.0,0,5
aa86cc,1673146783,KJFK,1673182304,SAEZ,AAL953  ,2399,79,3142.0,32.0,0,4
ad7760,1673146713,KJFK,1673149019,KBOS,AAL2742 ,2322,64,8207.0,313.0,0,2
acbf73,1673146660,KJFK,1673149749,KJFK,N920PD  ,10534,26,9556.0,11.0,0,2
06a125,1673146602,KJFK,1673187117,OTHH,QTR48W  ,2597,133,5386.0,95.0,0,1
ac75a5,1673146506,KJFK,1673155349,KMIA,AAL337  ,2003,194,6435.0,203.0,0,6
04004c,1673146395,KJFK,1673179367,DXXX,ETH513  ,2291,49,344.0,8.0,0,0
a27600,1673146115,KJFK,1673153060,KORD,JBU605  ,1507,79,2797.0,98.0,0,5
ab60e3,1673146032,KJFK,1673166297,EIDW,DAL44   ,2250,117,830.0,246.0,0,4
407699,1673145915,KJFK,1673167608,EGLL,VIR138M ,2307,110,2487.0,195.0,0,5
aaee43,1673145816,KJFK,1673179198,SBMT,DAL227  ,2059,79,4179.0,726.0,0,2
4b187d,1673145723,KJFK,1673170828,LSZH,SWR84L  ,2835,156,751.0,10.0,0,7
740822,1673145504,KJFK,1673180539,,RJA262G ,2118,87,,,0,0
ad7ab8,1673145450,KJFK,1673168939,KLAX,JBU815  ,2634,178,4479.0,60.0,0,7
344502,1673145324,KJFK,1673167271,LEMD,IBE6252 ,2485,49,9166.0,168.0,0,2
4caa41,1673145216,KJFK,1673165999,EIDW,EIN106  ,2880,178,193.0,223.0,0,4
a3f188,1673145022,KJFK,1673147258,VG00,N353SF  ,1006,102,12688.0,2256.0,0,9
acef2d,1673144949,KJFK,1673147219,VT03,EDV5085 ,1459,26,2778.0,2049.0,0,4
a3245d,1673144708,KJFK,1673147631,KSYR,EDV5190 ,1422,64,3808.0,54.0,0,12
a1d0a3,1673144656,KJFK,1673147541,KDCA,RPA5700 ,1583,148,2576.0,27.0,0,5
a74f33,1673144595,KJFK,1673157297,KDEN,JBU97   ,1982,56,3480.0,116.0,0,17
a095aa,1673144436,KJFK,1673147189,ME91,EDV4767 ,1554,87,4235.0,525.0,0,12
a7e5c1,1673144371,KJFK,1673152397,KMCO,JBU2583 ,1427,110,2675.0,90.0,0,7
ab6c08,1673144291,KJFK,1673169347,LSZH,DAL52   ,2529,110,673.0,10.0,0,7
4005c1,1673144135,KJFK,1673166677,EGLL,BAW9604 ,1562,163,2537.0,195.0,0,5
a066a3,1673144054,KJFK,1673146313,KBOS,DAL1577 ,1530,125,6478.0,237.0,0,2
a4b6b6,1673143993,KJFK,1673167053,EGLL,JBU7    ,1868,140,2462.0,195.0,0,5
a34825,1673143919,KJFK,1673147230,KBUF,EDV4826 ,1282,125,156.0,130.0,0,15
a80d40,1673143865,KJFK,1673152315,KMIA,JBU2193 ,1810,87,6029.0,127.0,0,7
a6c781,1673143807,KJFK,1673158870,KBTF,JBU71   ,2148,95,4946.0,363.0,0,4
ac8985,1673143747,KJFK,1673162631,KSAN,DAL363  ,2270,140,94.0,89.0,0,9
acf2e4,1673143667,KJFK,1673146679,,EDV5397 ,1673,56,,,0,0
a83e86,1673143600,KJFK,1673151748,KF45,JBU1053 ,1340,72,9618.0,511.0,0,8
a01fee,1673143548,KJFK,1673163145,KLAX,AAL185  ,2327,140,2605.0,60.0,0,7
4ca938,1673143414,KJFK,1673168331,LIMC,ITY605  ,2633,125,595.0,81.0,0,4
c82741,1673143331,KJFK,1673205398,NZAA,ANZ1    ,2813,102,1684.0,8.0,0,2
ab1c47,1673143243,KJFK,1673151920,KFLL,DAL1627 ,2472,102,3742.0,42.0,0,4
ac181d,1673143132,KJFK,1673152726,,DAL1975 ,2479,117,,,0,0
a2b622,1673143061,KJFK,1673145438,KBOS,JBU918  ,1651,117,7385.0,268.0,0,2
a449af,1673142999,KJFK,1673155190,KDEN,DAL1492 ,2786,102,3607.0,108.0,0,17
a14104,1673142904,KJFK,1673166308,EBBR,DAL140  ,2220,72,1653.0,88.0,0,3
a12c23,1673142813,KJFK,1673166488,LEBL,DAL168  ,1988,95,837.0,11.0,0,1
a4a0cd,1673142754,KJFK,1673151475,KMIA,DAL1341 ,2464,163,6427.0,134.0,0,8
a20d01,1673142690,KJFK,1673147628,KDTW,JBU1419 ,1899,117,6331.0,92.0,0,11
adc238,1673142629,KJFK,1673161604,KLAX,JBU1723 ,2488,140,2688.0,53.0,0,7
a47cd1,1673142525,KJFK,1673149674,4IL3,ATN3447 ,1392,148,2406.0,358.0,0,24
a3d10f,1673142440,KJFK,1673150329,KF45,DAL2900 ,1604,125,6140.0,511.0,0,8
a9c508,1673142327,KJFK,1673163792,EGLL,AAL106  ,2296,87,2550.0,188.0,0,5
ab7ae4,1673142253,KJFK,1673166536,LIMC,DAL172  ,2904,148,530.0,51.0,0,4
a7d725,1673142159,KJFK,1673146228,CYYZ,EDV4987 ,1765,79,1751.0,142.0,0,4
ad4bcb,1673142106,KJFK,1673150516,KFLL,JBU1501 ,2029,110,2745.0,10.0,0,4
ad3581,1673142037,KJFK,1673160591,KONT,JBU355  ,2747,140,1692.0,66.0,0,6
a845f4,1673141960,KJFK,1673161588,CYVR,JBU1975 ,2521,148,1154.0,56.0,0,3
76cd6e,1673141773,KJFK,1673165907,EDDF,SIA25   ,2970,64,2422.0,125.0,0,5
ab599b,1673141673,KJFK,1673167542,LIRF,DAL152  ,2335,102,2791.0,11.0,0,3
ab84ab,1673141605,KJFK,1673163260,EGLL,DAL1    ,2530,95,2440.0,188.0,0,5
a15ebc,1673141527,KJFK,1673162214,LPPT,DAL272  ,2024,79,2106.0,0.0,0,4
a9961b,1673141344,KJFK,1673192036,VIDP,AAL292  ,3070,148,2960.0,38.0,0,1
4006c0,1673141141,KJFK,1673162662,EGLL,BAW116  ,2520,110,2509.0,188.0,0,5
a883bd,1673140811,KJFK,1673149554,KTPA,JBU225  ,1641,95,1669.0,91.0,0,7
a3ed69,1673140631,KJFK,1673149339,KTPA,DAL2090 ,1792,102,1542.0,99.0,0,7
a2cefe,1673140523,KJFK,1673141724,KTTN,HPJ280  ,913,110,2279.0,3.0,0,19
a07f60,1673140475,KJFK,1673147182,KBNA,EDV4709 ,2318,148,2091.0,68.0,0,5
a32acf,1673140401,KJFK,1673146940,KATL,DAL684  ,2120,148,2498.0,76.0,0,20
02013d,1673140278,KJFK,1673162066,GMMN,RAM201N ,2203,87,965.0,131.0,0,1
a98539,1673140193,KJFK,1673159439,KPDX,DAL2656 ,2085,102,1590.0,165.0,0,23
a9b06f,1673140103,KJFK,1673161464,KSFO,DAL314  ,2082,110,1277.0,79.0,0,5
ad5329,1673140009,KJFK,1673150938,TJSJ,JBU1903 ,2282,133,4826.0,149.0,0,1
a8f9a3,1673139939,KJFK,1673143821,KRDU,EDV4894 ,1752,117,2275.0,79.0,0,6
a0f4f6,1673139861,KJFK,1673166741,ESSA,DAL204  ,1918,79,520.0,49.0,0,0
a1b2ee,1673139791,KJFK,1673157838,KLAS,JBU1211 ,1896,148,2132.0,116.0,0,4
4b1884,1673139675,KJFK,1673164285,LSGG,SWR78B  ,2387,156,521.0,10.0,0,3
a3a9ff,1673139539,KJFK,1673158109,MMMX,AAL2995 ,2382,102,8512.0,254.0,0,1
a04641,1673139468,KJFK,1673161707,KSFO,AAL2652 ,2616,201,1644.0,79.0,0,5
a009a4,1673139400,KJFK,1673158240,KLAX,AAL300  ,2720,232,2585.0,60.0,0,7
abd69d,1673139333,KJFK,1673148989,,DAL1943 ,2841,125,,,0,0
a52911,1673139250,KJFK,1673142380,KDCA,RPA4781 ,1542,79,2218.0,42.0,0,5
ab4489,1673139155,KJFK,1673162931,LFPG,DAL262  ,2664,87,6102.0,170.0,0,8
aabf80,1673139042,KJFK,1673160019,LEMD,AAL94   ,1798,125,3421.0,37.0,0,3
a1d811,1673138983,KJFK,1673146054,KORD,RPA5752 ,1842,87,2733.0,105.0,0,5
a4bef6,1673138916,KJFK,1673161017,EGKK,JBU43   ,2695,156,6103.0,418.0,0,2
406b05,1673138794,KJFK,1673160239,EGLL,BAW176A ,2365,125,2730.0,195.0,0,5
a1286c,1673138736,KJFK,1673160087,LEMD,DAL126  ,2676,156,12041.0,274.0,0,1
ac7c67,1673138649,KJFK,1673143334,KCLT,EDV4673 ,1914,95,5305.0,114.0,0,6
4cc547,1673138449,KJFK,1673156994,BIKF,ICE614  ,2115,49,1107.0,290.0,0,0
abca08,1673138339,KJFK,1673163629,EDDF,DAL106  ,2250,148,2219.0,49.0,0,5
a54245,1673138241,KJFK,1673139560,KTEB,EJA438  ,867,209,1134.0,56.0,0,5
a11d3c,1673138146,KJFK,1673156622,KLAX,DAL1028 ,2267,87,2645.0,45.0,0,7
a999d2,1673138059,KJFK,1673160021,EGLL,AAL100  ,2493,110,2464.0,188.0,0,5
a29cbf,1673137796,KJFK,1673159309,KSFO,ASA657  ,2201,87,1409.0,64.0,0,5
aa8a83,1673137641,KJFK,1673160118,LEBL,AAL66   ,2447,148,1615.0,34.0,0,1
acd2d3,1673137569,KJFK,1673143619,KIND,EDV5041 ,1849,72,2227.0,90.0,0,32
a19cc7,1673137400,KJFK,1673145298,KMCO,JBU283  ,1890,117,3965.0,8.0,0,7
a00c80,1673137326,KJFK,1673150476,KDFW,DAL1096 ,1810,133,3514.0,24.0,0,18
4cabd2,1673137243,KJFK,1673157116,EINN,EIN1EA  ,1868,79,9893.0,717.0,0,1
0d0acd,1673137193,KJFK,1673153837,MMJC,AMX403  ,2896,110,13311.0,954.0,0,1
a20347,1673137107,KJFK,1673144604,KJAX,RPA5686 ,1719,95,5780.0,158.0,0,6
a8b8ba,1673137048,KJFK,1673155603,KPSP,JBU1849 ,2316,125,1534.0,53.0,0,1
a1a3a9,1673136981,KJFK,1673152578,MGGT,JBU1328 ,2394,156,1204.0,122.0,0,0
a300a9,1673136916,KJFK,1673156030,KSAN,ASA393  ,2475,140,890.0,58.0,0,9
ace96d,1673136851,KJFK,1673145591,KMIA,AAL485  ,2225,102,4314.0,73.0,0,5
4077d3,1673136719,KJFK,1673158362,EGLL,VIR4C   ,2397,95,1988.0,157.0,0,5
407995,1673136625,KJFK,1673158494,EGLL,BAW40F  ,2013,102,2138.0,165.0,0,5
a9704d,1673136417,KJFK,1673154029,KLAS,DAL311  ,1737,194,2403.0,100.0,0,4
a3a575,1673136359,KJFK,1673139533,KBUF,JBU2    ,1703,140,626.0,122.0,0,15
ac2dea,1673136206,KJFK,1673140826,KCLT,AAL2038 ,2450,117,5000.0,114.0,0,6
394a18,1673136080,KJFK,1673158247,LFPG,AFR007  ,2141,117,5715.0,162.0,0,8
acf849,1673135926,KJFK,1673148814,KDFW,AAL2979 ,2084,87,3609.0,24.0,0,18
