flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2024-09-24,scheduled,"{'airport': 'Wellington International', 'timezone': 'Pacific/Auckland', 'iata': 'WLG', 'icao': 'NZWN', 'terminal': None, 'gate': '13', 'delay': None, 'scheduled': '2024-09-24T09:45:00+00:00', 'estimated': '2024-09-24T09:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '30', 'baggage': 'DTB2', 'delay': None, 'scheduled': '2024-09-24T10:50:00+00:00', 'estimated': '2024-09-24T10:50:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qantas', 'iata': 'QF', 'icao': 'QFA'}","{'number': '8537', 'iata': 'QF8537', 'icao': 'QFA8537', 'codeshared': {'airline_name': 'air new zealand', 'airline_iata': 'nz', 'airline_icao': 'anz', 'flight_number': '416', 'flight_iata': 'nz416', 'flight_icao': 'anz416'}}",,
2024-09-24,scheduled,"{'airport': 'Iloilo International', 'timezone': 'Asia/Manila', 'iata': 'ILO', 'icao': 'RPVI', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-24T06:00:00+00:00', 'estimated': '2024-09-24T06:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Ninoy Aquino International', 'timezone': 'Asia/Manila', 'iata': 'MNL', 'icao': 'RPLL', 'terminal': '2', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T07:10:00+00:00', 'estimated': '2024-09-24T07:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'China Airlines', 'iata': 'CI', 'icao': 'CAL'}","{'number': '8940', 'iata': 'CI8940', 'icao': 'CAL8940', 'codeshared': {'airline_name': 'philippine airlines', 'airline_iata': 'pr', 'airline_icao': 'pal', 'flight_number': '2140', 'flight_iata': 'pr2140', 'flight_icao': 'pal2140'}}",,
2024-09-24,scheduled,"{'airport': 'Beijing Capital International', 'timezone': 'Asia/Shanghai', 'iata': 'PEK', 'icao': 'ZBAA', 'terminal': '2', 'gate': 'G', 'delay': None, 'scheduled': '2024-09-24T06:30:00+00:00', 'estimated': '2024-09-24T06:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Yantai', 'timezone': 'Asia/Shanghai', 'iata': 'YNT', 'icao': 'ZSYT', 'terminal': 'T2', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T07:45:00+00:00', 'estimated': '2024-09-24T07:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air China LTD', 'iata': 'CA', 'icao': 'CCA'}","{'number': '1585', 'iata': 'CA1585', 'icao': 'CCA1585', 'codeshared': None}",,
2024-09-24,scheduled,"{'airport': 'Rabaul Airport', 'timezone': None, 'iata': 'RAB', 'icao': 'AYTK', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-24T07:05:00+00:00', 'estimated': '2024-09-24T07:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Jackson Field', 'timezone': 'Pacific/Port_Moresby', 'iata': 'POM', 'icao': 'AYPY', 'terminal': 'D', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T08:25:00+00:00', 'estimated': '2024-09-24T08:25:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air Niugini', 'iata': 'PX', 'icao': 'ANG'}","{'number': '275', 'iata': 'PX275', 'icao': 'ANG275', 'codeshared': None}",,
2024-09-24,scheduled,"{'airport': 'Hangzhou', 'timezone': 'Asia/Shanghai', 'iata': 'HGH', 'icao': 'ZSHC', 'terminal': '3', 'gate': None, 'delay': None, 'scheduled': '2024-09-24T06:45:00+00:00', 'estimated': '2024-09-24T06:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Qingyang', 'timezone': 'Asia/Shanghai', 'iata': 'IQN', 'icao': 'ZLQY', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T09:15:00+00:00', 'estimated': '2024-09-24T09:15:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Tibet Airlines', 'iata': 'TV', 'icao': 'TBA'}","{'number': '2095', 'iata': 'TV2095', 'icao': 'TBA2095', 'codeshared': {'airline_name': 'loong air', 'airline_iata': 'gj', 'airline_icao': 'cdc', 'flight_number': '8581', 'flight_iata': 'gj8581', 'flight_icao': 'cdc8581'}}",,
2024-09-24,scheduled,"{'airport': 'Guangzhou Baiyun International', 'timezone': 'Asia/Shanghai', 'iata': 'CAN', 'icao': 'ZGGG', 'terminal': '1', 'gate': None, 'delay': None, 'scheduled': '2024-09-24T06:30:00+00:00', 'estimated': '2024-09-24T06:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': None, 'timezone': None, 'iata': 'YSQ', 'icao': 'ZYSQ', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T12:20:00+00:00', 'estimated': '2024-09-24T12:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': '9 Air Co', 'iata': 'AQ', 'icao': 'JYH'}","{'number': '1189', 'iata': 'AQ1189', 'icao': 'JYH1189', 'codeshared': None}",,
2024-09-24,scheduled,"{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': '1', 'gate': 'L13', 'delay': None, 'scheduled': '2024-09-24T07:10:00+00:00', 'estimated': '2024-09-24T07:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Kansai International', 'timezone': 'Asia/Tokyo', 'iata': 'KIX', 'icao': 'RJBB', 'terminal': '2', 'gate': '85', 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T09:00:00+00:00', 'estimated': '2024-09-24T09:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Jeju Air', 'iata': '7C', 'icao': 'JJA'}","{'number': '1304', 'iata': '7C1304', 'icao': 'JJA1304', 'codeshared': None}",,
2024-09-24,scheduled,"{'airport': 'Guangzhou Baiyun International', 'timezone': 'Asia/Shanghai', 'iata': 'CAN', 'icao': 'ZGGG', 'terminal': None, 'gate': 'K', 'delay': None, 'scheduled': '2024-09-24T02:40:00+00:00', 'estimated': '2024-09-24T02:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Narita International Airport', 'timezone': 'Asia/Tokyo', 'iata': 'NRT', 'icao': 'RJAA', 'terminal': '2', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T07:55:00+00:00', 'estimated': '2024-09-24T07:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'ANA', 'iata': 'NH', 'icao': 'ANA'}","{'number': '8490', 'iata': 'NH8490', 'icao': 'ANA8490', 'codeshared': None}",,
2024-09-24,scheduled,"{'airport': 'Tianjin Binhai International', 'timezone': 'Asia/Shanghai', 'iata': 'TSN', 'icao': 'ZBTJ', 'terminal': '2', 'gate': '228', 'delay': None, 'scheduled': '2024-09-24T07:10:00+00:00', 'estimated': '2024-09-24T07:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Xiamen', 'timezone': 'Asia/Shanghai', 'iata': 'XMN', 'icao': 'ZSAM', 'terminal': '3', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T09:50:00+00:00', 'estimated': '2024-09-24T09:50:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Hebei Airlines', 'iata': 'NS', 'icao': 'HBH'}","{'number': '8132', 'iata': 'NS8132', 'icao': 'HBH8132', 'codeshared': {'airline_name': 'xiamen airlines', 'airline_iata': 'mf', 'airline_icao': 'cxa', 'flight_number': '8136', 'flight_iata': 'mf8136', 'flight_icao': 'cxa8136'}}",,
2024-09-24,scheduled,"{'airport': 'Quaid-e-azam International', 'timezone': 'Asia/Karachi', 'iata': 'KHI', 'icao': 'OPKC', 'terminal': 'M', 'gate': None, 'delay': None, 'scheduled': '2024-09-24T04:00:00+00:00', 'estimated': '2024-09-24T04:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Doha International', 'timezone': 'Asia/Qatar', 'iata': 'DOH', 'icao': 'OTHH', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T04:30:00+00:00', 'estimated': '2024-09-24T04:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Iberia', 'iata': 'IB', 'icao': 'IBE'}","{'number': '7907', 'iata': 'IB7907', 'icao': 'IBE7907', 'codeshared': {'airline_name': 'qatar airways', 'airline_iata': 'qr', 'airline_icao': 'qtr', 'flight_number': '605', 'flight_iata': 'qr605', 'flight_icao': 'qtr605'}}",,
